State,Atmosphere,Crash Datetime,Fatalities in crash,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.year,Crash Date.month,Crash Date.day-of-month,Crash Date.day-of-week
Georgia,Clear,01-01-2011 16:12,1,Urban-Local Road or Street,23,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6
Georgia,Sleet,01-01-2011 07:59,1,Urban-Local Road or Street,24,0.03,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),2011,1,1,6
Hawaii,Snow,01-01-2011 19:54,2,Rural-Minor Arterial,0,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Hawaii,Windy,01-01-2011 06:15,2,Rural-Minor Arterial,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Hawaii,Fog,01-01-2011 06:10,2,Rural-Minor Arterial,26,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Idaho,Fog,02-01-2011 09:01,1,Rural-Principal Arterial-Interstate,22,0,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7
Idaho,Thunderstorm,02-01-2011 15:33,1,Rural-Principal Arterial-Interstate,23,,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,2,7
Idaho,Clear,02-01-2011 09:46,1,Rural-Principal Arterial-Interstate,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,2,7
Illinois,Hail,01-01-2011 17:33,1,Urban-Minor Arterial,27,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Indiana,Windy,01-01-2011 09:57,1,Rural-Local Road or Street,25,0.09,Driver of a Motor Vehicle In-Transport,Yes,Black,Male,Fatal Injury (K),2011,1,1,6
Kansas,Cloudy,02-01-2011 22:03,2,Rural-Principal Arterial-Other,25,,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7
Kansas,Thunderstorm,02-01-2011 21:02,2,Rural-Principal Arterial-Other,61,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,2,7
Kentucky,Sleet,01-01-2011 04:15,2,Urban-Other Principal Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Kentucky,Sleet,01-01-2011 19:01,2,Urban-Other Principal Arterial,18,0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Kentucky,Hail,01-01-2011 12:58,2,Urban-Other Principal Arterial,20,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Kentucky,Dust Storm,01-01-2011 21:57,2,Urban-Other Principal Arterial,28,0.12,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Kentucky,Snow,01-01-2011 01:25,2,Urban-Other Principal Arterial,37,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Louisiana,Hail,01-01-2011 16:02,1,Rural-Principal Arterial-Interstate,41,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,1,6
Maine,Windy,03-01-2011 11:22,2,Rural-Major Collector,82,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,3,1
Massachusetts,Snow,25-01-2011 07:27,1,Urban-Other Principal Arterial,63,0,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,25,2
Michigan,Fog,01-01-2011 16:15,1,Rural-Major Collector,75,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,1,6
Minnesota,Thunderstorm,03-01-2011 11:13,1,Urban-Minor Arterial,57,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,3,1
Mississippi,Rain,01-01-2011 13:03,1,Urban-Principal Arterial-Other Freeways or Expressways,20,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Mississippi,Rain,01-01-2011 15:32,1,Urban-Principal Arterial-Other Freeways or Expressways,21,0.14,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6
Missouri,Windy,01-01-2011 14:35,1,Rural-Principal Arterial-Interstate,31,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,1,6
Montana,Clear,05-01-2011 20:41,1,Rural-Principal Arterial-Other,67,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,5,3
Nevada,Clear,03-01-2011 20:57,1,Urban-Minor Arterial,49,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,3,1
Nevada,Fog,03-01-2011 11:13,1,Urban-Minor Arterial,66,0,Pedestrian,Yes,White,Female,Fatal Injury (K),2011,1,3,1
New Hampshire,Thunderstorm,20-01-2011 01:42,1,Rural-Local Road or Street,20,0,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,1,20,4
New Hampshire,Cloudy,20-01-2011 06:49,1,Rural-Local Road or Street,21,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,20,4
New Hampshire,Sleet,20-01-2011 22:59,1,Rural-Local Road or Street,52,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,20,4
New Mexico,Sleet,12-02-2011 17:05,1,Urban-Collector,43,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,2,12,6
New York,Clear,10-01-2011 01:31,1,Rural-Principal Arterial-Other,31,0,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),2011,1,10,1
North Carolina,Clear,07-01-2011 01:24,2,Rural-Major Collector,50,0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,7,5
North Dakota,Hail,07-04-2011 05:13,1,Rural-Major Collector,41,0.31,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,4,7,4
Ohio,Clear,01-01-2011 04:44,1,Urban-Other Principal Arterial,21,0.06,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),2011,1,1,6
Ohio,Thunderstorm,01-01-2011 22:25,1,Urban-Other Principal Arterial,22,,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,1,6
Oklahoma,Rain,01-01-2011 01:29,2,Rural-Local Road or Street,39,0.1,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6
Oregon,Windy,02-01-2011 15:21,1,Rural-Principal Arterial-Other,64,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,2,7
Pennsylvania,Dust Storm,01-01-2011 10:00,1,Rural-Major Collector,21,0.27,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),2011,1,1,6
South Carolina,Windy,01-01-2011 20:29,1,Rural-Local Road or Street,91,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6
Tennessee,Cloudy,01-02-2011 23:48,1,Rural-Principal Arterial-Interstate,46,0,Driver of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,2,1,2
Texas,Fog,01-01-2011 14:34,2,Urban-Minor Arterial,34,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6
Utah,Hail,01-01-2011 13:28,1,Urban-Other Principal Arterial,34,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Vermont,Clear,15-01-2011 20:36,1,Rural-Principal Arterial-Other,0,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,15,6
Vermont,Snow,15-01-2011 17:25,1,Rural-Principal Arterial-Other,17,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6
Vermont,Clear,15-01-2011 07:11,1,Rural-Principal Arterial-Other,18,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6
Vermont,Clear,15-01-2011 19:37,1,Rural-Principal Arterial-Other,22,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,15,6
Vermont,Sleet,15-01-2011 10:29,1,Rural-Principal Arterial-Other,56,,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,15,6
Vermont,Sleet,15-01-2011 13:57,1,Rural-Principal Arterial-Other,57,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,15,6
Vermont,Sleet,15-01-2011 17:14,1,Rural-Principal Arterial-Other,67,0.11,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6
Virginia,Rain,01-01-2011 10:14,1,Rural-Minor Collector,20,0.11,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,1,6
Washington,Clear,01-01-2011 20:14,1,Urban-Collector,18,0.15,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,1,6
Washington,Clear,01-01-2011 03:19,1,Urban-Collector,18,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6
Wyoming,Dust Storm,16-01-2011 10:32,1,Rural-Major Collector,15,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,16,7
Wyoming,Rain,16-01-2011 22:48,1,Rural-Major Collector,17,0,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,16,7
Alaska,Cloudy,05-01-2011 02:36,2,Rural-Major Collector,32,0,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,5,3
Alaska,Clear,05-01-2011 07:19,2,Rural-Major Collector,76,0,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,5,3
Alaska,Rain,05-01-2011 12:28,2,Rural-Major Collector,82,0,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,5,3
Arkansas,Hail,03-01-2011 00:16,2,Urban-Principal Arterial-Interstate,60,0,Driver of a Motor Vehicle In-Transport,Unknown,,Female,Incapacitating Injury (A),2011,1,3,1
Arkansas,Sleet,03-01-2011 15:22,2,Urban-Principal Arterial-Interstate,62,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,3,1
California,Hail,03-01-2011 11:49,1,Rural-Minor Arterial,62,0.21,Driver of a Motor Vehicle In-Transport,Unknown,\N,Male,Fatal Injury (K),2011,1,3,1
Colorado,Snow,04-01-2011 14:12,1,Rural-Minor Collector,72,0,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,1,4,2
Connecticut,Cloudy,07-01-2011 23:47,1,\N,24,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,7,5
Delaware,Thunderstorm,11-01-2011 02:43,1,Rural-Principal Arterial-Other,50,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,11,2
Delaware,Clear,11-01-2011 23:07,1,Rural-Principal Arterial-Other,55,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,11,2
Florida,Dust Storm,02-01-2011 10:27,1,Urban-Other Principal Arterial,1,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,2,7
Florida,Thunderstorm,02-01-2011 21:32,1,Urban-Other Principal Arterial,15,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,2,7
Florida,Dust Storm,02-01-2011 09:44,1,Urban-Other Principal Arterial,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7
Florida,Snow,02-01-2011 16:10,1,Urban-Other Principal Arterial,28,,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,2,7
Florida,Sleet,02-01-2011 03:05,1,Urban-Other Principal Arterial,37,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,2,7
Georgia,Rain,01-01-2011 03:38,1,Urban-Local Road or Street,23,0.08,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,1,6
Hawaii,Hail,01-01-2011 20:45,1,Rural-Principal Arterial-Other,43,0.21,Passenger of a Motor Vehicle In-Transport,Not Reported,Hawaiian (includes Part-Hawaiian),Male,Fatal Injury (K),2011,1,1,6
Hawaii,Hail,01-01-2011 13:22,1,Rural-Principal Arterial-Other,46,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Idaho,Thunderstorm,07-01-2011 00:04,1,Rural-Principal Arterial-Other,40,,Driver of a Motor Vehicle In-Transport,Unknown,,Male,Incapacitating Injury (A),2011,1,7,5
Idaho,Sleet,07-01-2011 01:41,1,Rural-Principal Arterial-Other,41,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,7,5
Idaho,Fog,07-01-2011 00:46,1,Rural-Principal Arterial-Other,43,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,7,5
Illinois,Dust Storm,01-01-2011 17:44,1,Rural-Major Collector,18,0.17,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Indiana,Snow,01-01-2011 23:44,1,Rural-Local Road or Street,20,0.19,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,1,6
Kansas,Dust Storm,02-01-2011 06:08,1,Rural-Major Collector,28,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,2,7
Kansas,Dust Storm,02-01-2011 23:29,1,Rural-Major Collector,33,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,2,7
Kentucky,Dust Storm,04-01-2011 14:39,1,Rural-Local Road or Street,34,0.12,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,4,2
Louisiana,Rain,01-01-2011 07:22,1,Urban-Principal Arterial-Interstate,32,0.13,Pedestrian,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Louisiana,Snow,01-01-2011 10:46,1,Urban-Principal Arterial-Interstate,36,0.11,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Maine,Thunderstorm,07-01-2011 09:51,1,Rural-Local Road or Street,20,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,7,5
Maine,Snow,07-01-2011 14:56,1,Rural-Local Road or Street,20,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,7,5
Maryland,Dust Storm,01-01-2011 06:45,1,Rural-Major Collector,84,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,1,6
Minnesota,Windy,04-01-2011 16:02,2,Urban-Minor Arterial,40,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,4,2
Mississippi,Windy,02-01-2011 22:29,1,Rural-Principal Arterial-Other,56,0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,2,7
Missouri,Sleet,02-01-2011 23:35,1,Urban-Collector,19,0.17,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,2,7
Montana,Thunderstorm,22-01-2011 07:47,1,Urban-Other Principal Arterial,17,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,22,6
Montana,Sleet,22-01-2011 09:47,1,Urban-Other Principal Arterial,18,,Passenger of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,22,6
Montana,Hail,22-01-2011 12:00,1,Urban-Other Principal Arterial,53,0.28,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,22,6
Nebraska,Fog,01-01-2011 17:41,1,Rural-Minor Arterial,52,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
New Hampshire,Thunderstorm,03-01-2011 02:11,1,Urban-Local Road or Street,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,3,1
New Hampshire,Fog,03-01-2011 15:48,1,Urban-Local Road or Street,58,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,3,1
New Mexico,Thunderstorm,03-01-2011 07:40,1,Urban-Principal Arterial-Other Freeways or Expressways,47,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,3,1
New Mexico,Sleet,03-01-2011 19:01,1,Urban-Principal Arterial-Other Freeways or Expressways,72,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,3,1
Alabama,Clear,04-01-2011 16:13,1,Rural-Principal Arterial-Other,55,0.2,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,4,2
Arizona,Snow,01-01-2011 19:51,1,Urban-Other Principal Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
California,Hail,03-01-2011 09:50,1,Rural-Major Collector,80,0,Driver of a Motor Vehicle In-Transport,Unknown,\N,Female,Fatal Injury (K),2011,1,3,1
Delaware,Hail,04-01-2011 07:25,1,Urban-Other Principal Arterial,1,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,4,2
Delaware,Thunderstorm,04-01-2011 00:39,1,Urban-Other Principal Arterial,26,,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,4,2
District of Columbia,Rain,14-01-2011 08:34,2,Urban-Local Road or Street,27,0,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,14,5
District of Columbia,Dust Storm,14-01-2011 14:52,2,Urban-Local Road or Street,50,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,14,5
Florida,Thunderstorm,01-01-2011 08:54,1,Urban-Minor Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Georgia,Cloudy,01-01-2011 02:01,1,Urban-Local Road or Street,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,1,6
Hawaii,Thunderstorm,01-01-2011 07:24,2,Rural-Minor Arterial,4,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Hawaii,Snow,01-01-2011 07:47,2,Rural-Minor Arterial,12,0,Passenger of a Motor Vehicle In-Transport,Not Reported,Other Asian or Pacific Islander,Male,Fatal Injury (K),2011,1,1,6
Hawaii,Dust Storm,01-01-2011 06:05,2,Rural-Minor Arterial,14,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Hawaii,Fog,01-01-2011 17:30,2,Rural-Minor Arterial,17,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Hawaii,Snow,01-01-2011 15:08,2,Rural-Minor Arterial,21,0.18,Driver of a Motor Vehicle In-Transport,Unknown,,Male,Incapacitating Injury (A),2011,1,1,6
Hawaii,Cloudy,01-01-2011 00:47,2,Rural-Minor Arterial,29,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6
Hawaii,Hail,01-01-2011 11:07,2,Rural-Minor Arterial,34,0,Driver of a Motor Vehicle In-Transport,Unknown,,Female,Incapacitating Injury (A),2011,1,1,6
Hawaii,Rain,01-01-2011 19:11,2,Rural-Minor Arterial,42,0,Driver of a Motor Vehicle In-Transport,Unknown,Filipino,Female,Fatal Injury (K),2011,1,1,6
Hawaii,Sleet,01-01-2011 14:05,2,Rural-Minor Arterial,48,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,1,6
Idaho,Cloudy,02-01-2011 03:11,1,Rural-Principal Arterial-Interstate,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,2,7
Indiana,Sleet,01-01-2011 00:22,1,Rural-Local Road or Street,33,0,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,1,6
Iowa,Cloudy,02-01-2011 05:18,1,Urban-Minor Arterial,43,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,2,7
Kansas,Clear,02-01-2011 17:24,2,Rural-Principal Arterial-Other,62,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,2,7
Kentucky,Snow,01-01-2011 02:31,2,Urban-Other Principal Arterial,3,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
Kentucky,Dust Storm,01-01-2011 17:09,2,Urban-Other Principal Arterial,8,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Kentucky,Hail,01-01-2011 09:20,2,Urban-Other Principal Arterial,33,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6
Maine,Dust Storm,03-01-2011 16:06,2,Rural-Major Collector,55,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,3,1
Maine,Thunderstorm,03-01-2011 20:18,2,Rural-Major Collector,93,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,3,1
Maryland,Fog,01-01-2011 02:37,1,Urban-Principal Arterial-Interstate,30,0.17,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),2011,1,1,6
Michigan,Clear,01-01-2011 12:09,1,Rural-Major Collector,42,0.22,Pedestrian,No,White,Male,Fatal Injury (K),2011,1,1,6
Minnesota,Thunderstorm,03-01-2011 10:28,1,Urban-Minor Arterial,37,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,3,1
Missouri,Hail,01-01-2011 17:44,1,Rural-Principal Arterial-Interstate,31,0.21,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6
Montana,Fog,05-01-2011 21:41,1,Rural-Principal Arterial-Other,63,0,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,5,3
Montana,Hail,05-01-2011 05:13,1,Rural-Principal Arterial-Other,63,,Passenger of a Motor Vehicle In-Transport,No,,Female,Possible Injury (C),2011,1,5,3
Nebraska,Windy,01-01-2011 06:08,1,Rural-Local Road or Street,39,0.14,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,1,6
Nevada,Sleet,03-01-2011 05:19,1,Urban-Minor Arterial,46,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,3,1
New Mexico,Clear,12-02-2011 21:42,1,Urban-Collector,49,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,2,12,6
North Carolina,Thunderstorm,07-01-2011 18:21,2,Rural-Major Collector,23,,Passenger of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,1,7,5
North Carolina,Sleet,07-01-2011 19:41,2,Rural-Major Collector,35,,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,7,5
North Carolina,Sleet,07-01-2011 20:57,2,Rural-Major Collector,54,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,7,5
Ohio,Sleet,01-01-2011 15:39,1,Urban-Other Principal Arterial,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6
Ohio,Hail,01-01-2011 11:51,1,Urban-Other Principal Arterial,35,0.18,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6
